2024-11-12 12:18:27.486 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.from.scan.CurrentPathScanner - [client:400205]scan file in current open file directory(C:/Users/Piter/OneDrive - SENA/ANÁLISIS Y DESARROLLO DE SOFTWARE/PROYECTOS/NodeJs/CRUD MySQL/src/views/layouts)
2024-11-12 12:18:28.780 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.from.scan.CurrentPathScanner - [client:400205]scan file in current open file directory(C:/Users/Piter/OneDrive - SENA/ANÁLISIS Y DESARROLLO DE SOFTWARE/PROYECTOS/NodeJs/CRUD MySQL)
2024-11-12 12:18:48.668 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.from.scan.CurrentPathScanner - [client:400205]scan file in current open file directory(C:/Users/Piter/OneDrive - SENA/ANÁLISIS Y DESARROLLO DE SOFTWARE/PROYECTOS/Aeropuertos_estarter)
2024-11-12 12:25:20.330 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.from.scan.CurrentPathScanner - [client:400205]scan file in current open file directory(C:/Users/Piter/OneDrive - SENA/ANÁLISIS Y DESARROLLO DE SOFTWARE/PROYECTOS/1)
2024-11-12 12:26:34.483 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.from.scan.CurrentPathScanner - [client:400205]scan file in current open file directory(C:/Users/Piter/OneDrive - SENA/ANÁLISIS Y DESARROLLO DE SOFTWARE/PROYECTOS/1)
2024-11-12 12:27:36.592 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.from.scan.CurrentPathScanner - [client:400205]scan file in current open file directory(C:/Users/Piter/OneDrive - SENA/ANÁLISIS Y DESARROLLO DE SOFTWARE/PROYECTOS/1)
2024-11-12 12:27:46.035 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.from.scan.CurrentPathScanner - [client:400205]scan file in current open file directory(C:/Users/Piter/OneDrive - SENA/ANÁLISIS Y DESARROLLO DE SOFTWARE/PROYECTOS/1/eg-app/routes)
2024-11-12 12:27:48.570 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.from.scan.CurrentPathScanner - [client:400205]scan file in current open file directory(C:/Users/Piter/OneDrive - SENA/ANÁLISIS Y DESARROLLO DE SOFTWARE/PROYECTOS/1/eg-app/routes)
2024-11-12 12:27:52.283 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.from.scan.CurrentPathScanner - [client:400205]scan file in current open file directory(C:/Users/Piter/OneDrive - SENA/ANÁLISIS Y DESARROLLO DE SOFTWARE/PROYECTOS/1/eg-app/views)
2024-11-12 12:27:54.109 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.from.scan.CurrentPathScanner - [client:400205]scan file in current open file directory(C:/Users/Piter/OneDrive - SENA/ANÁLISIS Y DESARROLLO DE SOFTWARE/PROYECTOS/1/eg-app/views)
2024-11-12 12:27:56.533 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.from.scan.CurrentPathScanner - [client:400205]scan file in current open file directory(C:/Users/Piter/OneDrive - SENA/ANÁLISIS Y DESARROLLO DE SOFTWARE/PROYECTOS/1/eg-app/views)
2024-11-12 12:27:59.456 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.from.scan.CurrentPathScanner - [client:400205]scan file in current open file directory(C:/Users/Piter/OneDrive - SENA/ANÁLISIS Y DESARROLLO DE SOFTWARE/PROYECTOS/1/eg-app)
2024-11-12 12:28:11.917 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.from.scan.CurrentPathScanner - [client:400205]scan file in current open file directory(C:/Users/Piter/OneDrive - SENA/ANÁLISIS Y DESARROLLO DE SOFTWARE/PROYECTOS/1/eg-app)
